stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
38;37;0x0000000I64X;74;B;00:00:01:233;1116;30;;;;;39.007809;;8 928;1 013;0;1 330;0;;11;17;3 957;;548;28;271;907;0;
39;40;0x0000000I64X;80;P;00:00:01:333;8143;25;;;;;36.702056;;65 144;484;0;3 544;0;;1 149;2 902;13 352;;5 237;113;4 028;32 153;0;
40;39;0x0000000I64X;78;B;00:00:01:300;1086;29;;;;;39.841986;;8 688;1 031;0;1 235;0;;8;12;4 103;;443;18;217;744;0;
41;42;0x0000000I64X;84;P;00:00:01:400;7406;25;;;;;37.075635;;59 248;397;0;3 599;0;;1 173;3 231;13 327;;5 028;120;3 736;26 375;0;
42;41;0x0000000I64X;82;B;00:00:01:366;1183;28;;;;;40.151937;;9 464;1 022;0;1 177;0;;12;30;4 425;;602;24;288;1 001;0;
43;44;0x0000000I64X;88;P;00:00:01:466;8224;25;;;;;37.510184;;65 792;425;0;3 730;0;;1 249;3 153;13 742;;5 231;115;4 083;31 707;0;
44;43;0x0000000I64X;86;B;00:00:01:433;1373;28;;;;;39.994871;;10 984;992;0;1 544;0;;28;60;4 973;;712;40;327;1 334;0;
45;46;0x0000000I64X;92;P;00:00:01:533;8259;25;;;;;37.055296;;66 072;384;0;3 695;0;;1 226;3 316;13 583;;5 312;136;4 133;31 969;0;
46;45;0x0000000I64X;90;B;00:00:01:500;1524;28;;;;;39.813423;;12 192;1 013;0;1 658;0;;28;55;5 700;;834;25;403;1 443;0;
47;48;0x0000000I64X;96;P;00:00:01:600;7080;25;;;;;37.678684;;56 640;430;0;3 441;0;;950;2 522;13 840;;5 076;100;3 533;24 722;0;
48;47;0x0000000I64X;94;B;00:00:01:566;1448;27;;;;;40.674402;;11 584;1 023;0;1 517;0;;28;63;5 328;;814;30;381;1 385;0;
49;50;0x0000000I64X;100;P;00:00:01:666;7668;25;;;;;37.718203;;61 344;335;0;3 850;0;;1 091;2 588;14 146;;5 162;119;3 678;28 338;0;
50;49;0x0000000I64X;98;B;00:00:01:633;1620;28;;;;;40.343182;;12 960;1 028;0;1 560;0;;41;90;5 671;;944;32;602;1 916;0;
51;52;0x0000000I64X;104;P;00:00:01:733;6774;25;;;;;39.442733;;54 192;460;0;3 406;0;;1 092;2 881;12 562;;4 494;116;3 553;23 336;0;
52;51;0x0000000I64X;102;B;00:00:01:700;1604;26;;;;;40.816867;;12 832;1 016;0;1 667;0;;29;74;5 698;;908;24;596;1 820;0;
53;54;0x0000000I64X;108;P;00:00:01:800;7445;25;;;;;38.100268;;59 560;420;0;3 664;0;;1 169;2 790;14 437;;5 028;138;3 685;26 082;0;
54;53;0x0000000I64X;106;B;00:00:01:766;1726;27;;;;;40.455142;;13 808;1 017;0;1 848;0;;45;86;6 530;;933;22;672;1 537;0;
55;56;0x0000000I64X;112;P;00:00:01:866;6509;25;;;;;37.987989;;52 072;484;0;3 449;0;;908;2 332;13 696;;4 226;105;3 202;21 576;0;
56;55;0x0000000I64X;110;B;00:00:01:833;1492;27;;;;;40.098067;;11 936;1 024;0;1 478;0;;16;44;5 679;;754;28;391;1 542;0;
57;58;0x0000000I64X;116;P;00:00:01:933;10951;25;;;;;37.985110;;87 608;124;0;5 194;0;;2 219;6 687;15 070;;4 515;185;5 035;45 368;0;
58;57;0x0000000I64X;114;B;00:00:01:900;1690;27;;;;;39.919280;;13 520;871;0;1 974;0;;75;147;5 524;;936;49;768;2 295;0;
59;60;0x0000000I64X;120;P;00:00:02:000;8175;24;;;;;38.606179;;65 400;314;0;3 976;0;;1 285;3 271;14 557;;5 523;144;4 422;29 689;0;
60;59;0x0000000I64X;118;B;00:00:01:966;1481;27;;;;;40.988415;;11 848;1 027;0;1 308;0;;32;61;5 462;;837;30;525;1 563;0;
61;62;0x0000000I64X;124;P;00:00:02:066;7569;24;;;;;38.611487;;60 552;437;0;3 421;0;;917;2 214;14 044;;5 519;93;4 184;27 791;0;
62;61;0x0000000I64X;122;B;00:00:02:033;1505;26;;;;;40.715050;;12 040;1 047;0;1 495;0;;16;55;5 539;;888;28;559;1 373;0;
63;64;0x0000000I64X;128;P;00:00:02:133;7786;25;;;;;36.873765;;62 288;483;0;3 279;0;;939;2 215;13 773;;5 477;121;4 247;29 793;0;
64;63;0x0000000I64X;126;B;00:00:02:100;1299;28;;;;;40.254617;;10 392;1 025;0;1 257;0;;0;10;4 811;;741;22;432;1 138;0;
65;66;0x0000000I64X;132;P;00:00:02:200;9808;24;;;;;37.499028;;78 464;406;0;3 446;0;;978;2 489;14 085;;6 089;109;5 006;43 905;0;
66;65;0x0000000I64X;130;B;00:00:02:166;1495;28;;;;;39.997112;;11 960;1 032;0;1 662;0;;31;70;5 270;;805;35;483;1 554;0;
67;68;0x0000000I64X;136;P;00:00:02:266;10470;25;;;;;36.474958;;83 760;448;0;3 289;0;;1 130;2 347;13 920;;6 259;134;5 251;49 051;0;
68;67;0x0000000I64X;134;B;00:00:02:233;1405;29;;;;;39.455738;;11 240;1 034;0;1 557;0;;8;38;4 780;;735;31;365;1 675;0;
69;70;0x0000000I64X;140;P;00:00:02:333;11759;26;;;;;36.423185;;94 072;547;0;3 126;0;;1 038;2 088;13 636;;5 745;131;5 007;60 933;0;
70;69;0x0000000I64X;138;B;00:00:02:300;1315;28;;;;;37.893945;;10 520;1 010;0;1 503;0;;8;30;3 874;;763;41;405;1 983;0;
71;74;0x0000000I64X;148;P;00:00:02:466;8832;25;;;;;35.525940;;70 656;196;0;4 133;0;;766;2 160;19 338;;5 897;104;5 293;30 875;0;
72;72;0x0000000I64X;144;B;00:00:02:400;4084;27;;;;;36.498243;;32 672;924;0;2 330;0;;71;125;6 229;;3 371;492;1 713;16 252;0;
73;71;0x0000000I64X;142;B;00:00:02:366;1487;30;;;;;38.772885;;11 896;1 029;0;1 256;0;;0;0;3 761;;1 168;126;451;3 133;0;
74;73;0x0000000I64X;146;B;00:00:02:433;1410;30;;;;;35.709413;;11 280;967;0;1 553;0;;23;39;4 611;;837;58;483;1 882;0;
75;76;0x0000000I64X;152;P;00:00:02:533;9558;25;;;;;37.834240;;76 464;329;0;4 091;0;;1 627;4 335;16 678;;4 713;168;4 914;36 818;0;
76;75;0x0000000I64X;150;B;00:00:02:500;1464;27;;;;;39.345237;;11 712;1 045;0;1 726;0;;0;13;4 962;;859;40;397;1 693;0;
77;78;0x0000000I64X;156;P;00:00:02:600;7276;25;;;;;37.818450;;58 208;595;0;3 034;0;;1 213;2 554;13 272;;4 196;139;3 777;27 213;0;
78;77;0x0000000I64X;154;B;00:00:02:566;1390;27;;;;;39.455303;;11 120;1 005;0;1 481;0;;31;48;4 972;;738;45;277;1 526;0;
79;80;0x0000000I64X;160;P;00:00:02:666;7277;26;;;;;38.525638;;58 216;508;0;3 279;0;;1 051;2 332;14 122;;4 416;121;3 673;26 672;0;
80;79;0x0000000I64X;158;B;00:00:02:633;1365;26;;;;;39.561639;;10 920;1 038;0;1 415;0;;47;118;4 706;;689;41;394;1 479;0;
81;82;0x0000000I64X;164;P;00:00:02:733;10336;25;;;;;38.020116;;82 688;156;0;5 009;0;;2 319;6 122;16 287;;4 789;224;4 954;39 617;0;
82;81;0x0000000I64X;162;B;00:00:02:700;1565;27;;;;;39.871475;;12 520;896;0;1 745;0;;59;123;5 701;;866;47;511;1 692;0;
83;84;0x0000000I64X;168;P;00:00:02:800;6625;25;;;;;38.142359;;53 000;610;0;2 989;0;;936;2 258;13 244;;4 108;109;3 116;23 626;0;
84;83;0x0000000I64X;166;B;00:00:02:766;1364;27;;;;;40.203233;;10 912;1 011;0;1 451;0;;15;42;5 027;;708;18;364;1 350;0;
85;85;0x0000000I64X;170;P;00:00:02:833;5494;25;;;;;40.272140;;43 952;682;0;2 461;0;;329;1 064;12 470;;4 249;41;2 766;18 324;0;
86;86;0x0000000I64X;172;P;00:00:02:866;5024;25;;;;;40.371866;;40 192;721;0;2 723;0;;472;1 118;12 556;;3 544;41;2 710;14 635;0;
87;87;0x0000000I64X;174;P;00:00:02:900;5409;25;;;;;40.204844;;43 272;701;0;2 379;0;;199;704;12 336;;4 092;28;2 747;18 652;0;
88;88;0x0000000I64X;176;P;00:00:02:933;5473;25;;;;;40.165112;;43 784;622;0;2 692;0;;557;1 264;12 930;;3 981;59;2 808;17 141;0;
89;89;0x0000000I64X;178;P;00:00:02:966;5154;26;;;;;40.190960;;41 232;712;0;2 223;0;;234;756;12 562;;3 840;32;2 494;16 935;0;
90;91;0x0000000I64X;182;P;00:00:03:033;9347;26;;;;;37.449581;;74 776;257;0;4 306;0;;829;2 390;18 293;;5 688;69;4 304;37 028;0;
91;90;0x0000000I64X;180;B;00:00:03:000;2093;28;;;;;39.608388;;16 744;896;0;2 248;0;;94;209;6 689;;1 249;64;993;3 344;0;
92;92;0x0000000I64X;184;P;00:00:03:066;5384;25;;;;;40.487018;;43 072;676;0;2 662;0;;504;1 393;11 406;;3 810;57;2 956;17 744;0;
93;94;0x0000000I64X;188;P;00:00:03:133;9090;25;;;;;38.604050;;72 720;245;0;4 052;0;;1 665;4 293;15 281;;5 001;160;4 349;35 088;0;
94;93;0x0000000I64X;186;B;00:00:03:100;1900;26;;;;;40.562854;;15 200;999;0;1 771;0;;50;129;6 652;;1 153;30;793;2 535;0;
95;96;0x0000000I64X;192;P;00:00:03:200;7936;25;;;;;37.737929;;63 488;454;0;3 000;0;;793;2 163;14 085;;5 573;93;3 712;31 723;0;
96;95;0x0000000I64X;190;B;00:00:03:166;1495;28;;;;;40.454951;;11 960;1 002;0;1 495;0;;9;13;5 940;;809;35;372;1 228;0;
97;98;0x0000000I64X;196;P;00:00:03:266;7530;25;;;;;36.634809;;60 240;515;0;2 947;0;;771;1 848;12 520;;5 169;90;3 554;31 047;0;
98;97;0x0000000I64X;194;B;00:00:03:233;1205;28;;;;;40.102660;;9 640;1 036;0;1 214;0;;25;38;4 720;;596;25;258;721;0;
99;100;0x0000000I64X;200;P;00:00:03:333;9638;25;;;;;37.239204;;77 104;257;0;3 505;0;;828;2 204;18 361;;6 192;84;4 392;39 453;0;
100;99;0x0000000I64X;198;B;00:00:03:300;1478;28;;;;;39.594394;;11 824;1 013;0;1 146;0;;14;52;5 233;;954;43;591;1 818;0;
101;101;0x0000000I64X;202;P;00:00:03:366;7442;25;;;;;40.034894;;59 536;537;0;2 776;0;;270;710;14 382;;5 769;33;3 819;29 763;0;
102;102;0x0000000I64X;204;P;00:00:03:400;11082;25;;;;;39.676441;;88 656;208;0;3 784;0;;868;2 298;17 436;;6 970;95;5 242;49 897;0;
103;104;0x0000000I64X;208;P;00:00:03:466;10676;25;;;;;36.411180;;85 408;543;0;2 430;0;;474;938;12 206;;6 393;46;4 594;56 313;0;
104;103;0x0000000I64X;206;B;00:00:03:433;1120;29;;;;;39.106922;;8 960;1 021;0;1 302;0;;24;40;3 769;;594;29;255;986;0;
105;108;0x0000000I64X;216;P;00:00:03:600;7104;25;;;;;36.354174;;56 832;551;0;2 502;0;;280;670;13 168;;5 713;39;3 900;28 602;0;
106;106;0x0000000I64X;212;B;00:00:03:533;4988;28;;;;;36.304900;;39 904;822;0;2 640;0;;8;33;5 810;;4 168;661;2 096;22 481;0;
107;105;0x0000000I64X;210;B;00:00:03:500;682;30;;;;;38.987770;;5 456;982;0;415;0;;0;3;2 156;;377;26;95;673;0;
108;107;0x0000000I64X;214;B;00:00:03:566;1164;29;;;;;35.847524;;9 312;1 007;0;1 245;0;;4;6;4 155;;624;22;282;908;0;
109;110;0x0000000I64X;220;P;00:00:03:666;8490;25;;;;;36.563508;;67 920;504;0;3 146;0;;828;2 378;18 001;;5 369;88;3 874;31 669;0;
110;109;0x0000000I64X;218;B;00:00:03:633;1180;29;;;;;39.444037;;9 440;1 050;0;1 498;0;;4;16;4 077;;513;22;252;1 090;0;
