Domain,Type,Format,PicW,PicH,AppLabel,SubLabel,Note
puui.qpic.cn,image,gif,260,146,TecnetVedio,Small-Icon,
i.gtimg.cn,image,jpeg,42,42,TecnetVedio,Small-Icon,
puui.qpic.cn,image,jpeg,680,382,TecnetVedio,Cover,
swa.gtimg.com,image,jpeg,640,246,TecnetVedio,AD,
puui.qpic.cn,image,png,1080,607,TecnetVedio,Cover,
vm.gtimg.cn,image,png,82,900,TecnetVedio,Icon,
