Domain,Type,Format,PicW,PicH,AppLabel,SubLabel,Note
mvavatar1.meitudata.com,image,jpeg,60,60,MeiPai,Avatar,
mvavatar11.meitudata.com,image,jpeg,60,60,MeiPai,Avatar,
mvavatar2.meitudata.com,image,jpeg,60,60,MeiPai,Avatar,
mvimg10.meitudata.com,image,jpeg,300,300,MeiPai,AD,
mvimg11.meitudata.com,image,jpeg,300,300,MeiPai,AD,
mea.meitudata.com,image,webp,960,1070,MeiPai,AD,
mvimg10.meitudata.com,image,webp,510,680,MeiPai,Cover,
mvimg11.meitudata.com,image,webp,540,720,MeiPai,Cover,
