Domain,Type,Format,PicW,PicH,AppLabel,SubLabel,Note
image.newsdog.today,image,webp,250,110,YouKu,AD,
image.uczzd.cn,image,jpeg,1024,576,YouKu,Cover,
image.uczzd.cn,image,png,1024,576,YouKu,Cover,
r1.ykimg.com,image,jpeg,720,1280,YouKu,AD,
vthumb.ykimg.com,image,jpeg,448,252,YouKu,Cover,
wx.qlogo.cn,image,jpeg,640,640,YouKu,Avatar,
ykimg.alicdn.com,image,gif,448,252,YouKu,GIF,
