URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
http://mobileso.bz.mgtv.com/mobile/entrance/v1?device=Phantom6&androidid=9318c794e4c75cb4&userId=0&seqId=3513b974e970487020d2ba01311af451&uuid=&mac=i9318c794e4c75cb&ticket=&abroad=0&platform=mobile&endType=mgtvapp&appVersion=5.5.2&osType=android&imei=null&version=5.2&macaddress=02%3A00%3A00%3A00%3A00%3A00&osVersion=6.0&uid=&fstlvlId=20&type=10&channel=yybcpd,COMPLETE,200,http,GET,application/json;charset=UTF-8,/172.24.3.158,mobileso.bz.mgtv.com/0.0.107.85,,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,95,3,51,,1,0,40,12.623047,510.7422,0.0,523,,121,584,,
http://mglive.api.max.mgtv.com/follow/topical-artist?device=Phantom6&androidid=9318c794e4c75cb4&userId=0&seqId=6ca7f653fe050734885957bfcae1ca7c&uuid=&mac=i9318c794e4c75cb&ticket=&abroad=0&endType=mgtvapp&appVersion=5.5.2&osType=android&imei=null&version=5.2&macaddress=02%3A00%3A00%3A00%3A00%3A00&osVersion=6.0&uid=&type=10&channel=yybcpd,COMPLETE,200,http,POST,text/plain;charset=UTF-8,/172.24.3.158,mglive.api.max.mgtv.com/0.0.107.86,,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,75,3,40,,0,0,32,20.364258,0.0,0.0,571,50,228,715,,60.8%
http://player.log.hunantv.com/playerQuality.gif?pos_play=0&seeking_num=0&first_frame_cost_ms=0&buffering_time=0&buffering_num=0&seeking_time=0,COMPLETE,200,http,GET,image/gif,/172.24.3.158,player.log.hunantv.com/0.0.107.84,,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,39,,,,0,0,39,7.9121094,0.0,0.0,305,,11,0,,
http://player.log.hunantv.com/playerQuality.gif?pos_play=0&seeking_num=0&first_frame_cost_ms=0&buffering_time=0&buffering_num=0&seeking_time=0,COMPLETE,200,http,GET,image/gif,/172.24.3.158,player.log.hunantv.com/0.0.107.84,,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,14 Sep 2017 17:29:49,40,,,,0,1,39,7.7148438,0.0,10.7421875,305,,11,0,,
"http://aphone-v0-al.data.mgtv.com/pend.php?mod=Phantom6&act=pend&skct=0&ch=yybcpd&guid=907447492067725312&psdkv=23&uuid=&reschg=0&suuid=ec495e611e4612410eb3c8932d2f7f32&bdsv=android_v1.1.0_201708311020&sver=aphone-6.0&plat=1&ptst=4&prottp=http&res=640x360&hddc=0&rdc=&rch=&sid=58900e13-0ef8-4fd4-bd81-f35f5b0e31b1&ptp=0&imei=null&gps=121.481271,31.202875&proxy=0&retry=0&vrate=368904&fps=25&bfct=2&appgn=com.hunantv.imgo.activity&chiptp=MT6755&time=20170914102949&mf=TECNO&did=i9318c794e4c75cb&mac=00:08:22:36:14:fc&psuuid=84612c3797e6815c3ceb4b683b99fa6e&logver=null&net=1&vtp=4&pver=MGTV_1.3.1&os=android&endtp=1&cdtp=H264&aver=imgotv-aphone-5.5.2&renvtp=0&isdebug=0&rdtp=1&dectp=OMX.MTK.VIDEO.DECODER.AVC&sctp=0",COMPLETE,200,http,GET,application/octet-stream,/172.24.3.158,aphone-v0-al.data.mgtv.com/0.0.107.75,,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,33,,,,0,0,33,28.585938,0.0,0.0,852,,114,0,,
http://1img.mgtv.com/preview/sp_images/2017/yinle/117075/3959949/20170605124056172.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,1img.mgtv.com/0.0.107.87,,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,222,1,23,,1,177,20,347.84473,234.375,434.95605,240,,537,78298,,
http://0img.mgtv.com/preview/sp_images/2016/yinle/118403/3373311/20160822150242853.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,0img.mgtv.com/0.0.107.88,,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,55,1,18,,0,25,11,291.12207,0.0,631.09375,240,,539,15617,,
http://1img.mgtv.com/preview/sp_images/2016/yinle/117753/3658387/20161026171233474.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,1img.mgtv.com/0.0.107.87,,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,127,2,11,,0,97,17,199.54102,0.0,258.83887,240,,538,25172,,
http://2img.mgtv.com/preview/sp_images/2017/yinle/309564/3784021/20170116111726892.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,2img.mgtv.com/0.0.107.89,,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,178,2,24,,0,134,18,330.02832,0.0,436.64648,240,,537,59378,,
http://4img.mgtv.com/preview/cms_icon/2017/01/20170101142809431.jpg_738x416.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,4img.mgtv.com/0.0.107.91,,14 Sep 2017 17:29:50,14 Sep 2017 17:29:50,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,703,2,20,,0,669,12,278.7295,0.0,292.57227,221,,537,199892,,
http://2img.mgtv.com/preview/sp_images/2017/yinle/309671/3763872/20170101125815199.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,2img.mgtv.com/0.0.107.89,,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,119,,,,0,106,13,210.21484,0.0,233.78516,240,,534,24842,,
http://3img.mgtv.com/preview/sp_images/2017/yinle/309671/3763821/20170101092414802.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,3img.mgtv.com/0.0.107.92,,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,262,1,29,,0,219,13,128.66699,0.0,152.86035,240,,541,33739,,
http://1img.mgtv.com/preview/cms_icon/2017/01/20170101105241289.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,1img.mgtv.com/0.0.107.87,,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,146,,,,1,128,17,147.44727,215.82031,166.4961,221,,538,21285,,
http://2img.mgtv.com/preview/cms_icon/2017/01/20170101113418371.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,2img.mgtv.com/0.0.107.89,,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,171,2,9,,0,146,14,121.7959,0.0,141.17285,221,,538,20568,,
http://2img.mgtv.com/preview/cms_icon/2017/01/20170101105307186.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,2img.mgtv.com/0.0.107.89,,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,270,4,17,,0,228,21,162.69824,0.0,191.72266,221,,537,44225,,
